語言	條目	字元數	發現路徑
fr	WandaVision	181503	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
es	Agatha All Along	179846	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
en	Dishonored	174586	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
ja	リトルウィッチアカデミア	174165	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
ja	ソウルイーター	172850	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	The Little Mermaid (2023 film)	172518	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Pirates of the Caribbean: Dead Men Tell No Tales	172386	Category:Witchcraft > Curses > Flying Dutchman
de	Ritualmordlegende	172077	Kategorie:Hexenverfolgung
de	Johannes Calvin	170848	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
zh	孔子	168571	Category:中國民間信仰 > 中国民间信仰神祇
en	Culture and menstruation	168019	Category:Witchcraft > Curses
ja	河童	165377	Category:日本の妖怪 > 河童
ja	ウィキッド ふたりの魔女	164632	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした映画作品
fr	Chasse aux sorcières	163699	Catégorie:Sorcellerie > Sorcellerie féminine
de	Hexenverfolgung	163295	Kategorie:Hexenverfolgung
it	Processi per stregoneria in Italia	161304	Categoria:Stregoneria > Processi per stregoneria > Processi per stregoneria in Italia
en	The Wizard of Oz	160455	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Salem, Massachusetts	160451	Category:Witchcraft > American witchcraft
en	Wicked: For Good	160217	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Conan the Barbarian (1982 film)	157592	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	オシャレ魔女♥ラブandベリー	154857	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
en	Tutankhamun	154027	Category:Witchcraft > Curses
de	WandaVision	152491	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
fr	Supernatural (série télévisée)	151767	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Diable dans la fiction
zh	关羽	151743	Category:中國民間信仰 > 中国民间信仰神祇
ja	鬼太郎	150577	Category:日本の妖怪 > 水木しげるオリジナルの妖怪
en	The Love for Three Oranges (fairy tale)	149008	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
ja	ときめきトゥナイト	148257	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
sv	Häxprocess	147513	Kategori:Häxprocesser
en	Azealia Banks	146872	Category:Witchcraft > American witchcraft
en	Harry Potter (film series)	146828	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	うみねこのなく頃に	144662	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
en	Genshin Impact	143483	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
fr	Crapaud dans l'imaginaire et la tradition en Occident	143231	Catégorie:Sorcellerie
en	Suspiria (2018 film)	141733	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Atomwaffen Division	141486	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
en	Puella Magi Madoka Magica	139065	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
ja	大祓	138398	Category:呪術 > 陰陽道
ja	菅原道真	136359	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
en	Tetragrammaton	136308	Category:Witchcraft > Incantation > Magic words
en	Umbrella (song)	134829	Category:Witchcraft > Curses
en	European witchcraft	133845	Category:European witchcraft
en	Suicide Squad (2016 film)	132202	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Harry Potter y el legado maldito	131869	Categoría:Brujería > Brujería en la ficción > Harry Potter
de	Schule der Magier	131698	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
en	Stranger Things season 4	131576	Category:Witchcraft > Curses > Fiction about curses
es	Inquisición española	131341	Categoría:Brujería > Procesos por brujería
en	Dark Horse (Katy Perry song)	130382	Category:Witchcraft > Fiction about witchcraft > Songs about witches
de	Die Elixiere des Teufels	130126	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
es	Charmed	129665	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
ja	前橋ウィッチーズ	128170	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Satanic panic	127917	Category:Witchcraft > Witch hunting
fr	La Belle au bois dormant (film, 1959)	127857	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Mulan (2020 film)	127339	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Snow White (2025 film)	127126	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Chain letter	126305	Category:Witchcraft > Curses
en	Morgan le Fay	126136	Category:Witchcraft > Witchcraft in folklore and mythology > Witches in folklore
es	Suspiria (película de 2018)	124503	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
ja	Re:ゼロから始める異世界生活 (アニメ)	123717	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
it	Streghe (serie televisiva 1998)	123192	Categoria:Stregoneria > Streghe nelle opere di fantasia > Streghe (serie televisiva)
fr	The Ancient Magus Bride	120398	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Sorcellerie dans la bande dessinée
ja	グレーテルのかまど	118483	Category:魔女 > 魔女を題材とした作品 > ヘンゼルとグレーテル
en	Hansel & Gretel: Witch Hunters	118005	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	羽衣 (衣装)	117721	Category:呪術
en	Witch hunt	117050	Category:Witchcraft > Witch hunting
ko	무속	117047	분류:무속
fr	Vampire Diaries	115062	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	Evil Queen	114961	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
fr	Saison 3 d'American Horror Story	114351	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
es	Domiciano	113709	Categoría:Brujería > Maldiciones > Damnatio memoriae
en	Snow White	113682	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
fr	Albus Dumbledore	113101	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	La Llorona	111252	Category:Witchcraft > Curses
es	Harry Potter	111220	Categoría:Brujería > Brujería en la ficción > Harry Potter
fr	Buffy contre les vampires	110066	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	Zombie	109562	Category:Witchcraft > African witchcraft > Voodoo
es	Brujería	108993	Categoría:Brujería
it	Goezia (pratica magica)	108386	Categoria:Stregoneria
es	Canción de hielo y fuego	107944	Categoría:Brujería > Brujería en la ficción
en	The Legend of Zelda: Twilight Princess	107900	Category:European witchcraft > Imps
en	The Owl House	107734	Category:Witchcraft > Fiction about witchcraft > Witch hunting in fiction
en	Fantastic Beasts	107601	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	ベヨネッタ	107165	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
en	Religious debates over the Harry Potter series	106937	Category:Witchcraft > Modern witchcraft
ja	魔砲使い黒姫	106455	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
en	Andretti curse	106075	Category:Witchcraft > Curses > Sports-related curses
ja	ゼロから始める魔法の書	105772	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Beetlejuice Beetlejuice	105771	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Barroz 3D	105656	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Johannes Brenz	105428	Kategorie:Hexenverfolgung > Gegner der Hexenverfolgung
de	Johann Weyer	105351	Kategorie:Hexenverfolgung > Gegner der Hexenverfolgung
en	Witch Watch	105040	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
ja	山田くんと7人の魔女	104928	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
es	Orden de los Nueve Ángulos	103971	Categoría:Brujería > Satanismo
en	Witchcraft	103947	Category:Witchcraft
en	The Chronicles of Narnia: The Voyage of the Dawn Treader	102440	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Hecate	102208	Category:Witchcraft > Witchcraft in folklore and mythology
ja	真言	102171	Category:呪術 > 陀羅尼
ja	ウィッチウォッチ	102014	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Margaret Murray	101963	Category:Witchcraft > Historians of witchcraft
en	Witch trials in the early modern period	101777	Category:Witch trials
en	Food and drink prohibitions	101720	Category:Witchcraft > Curses > Taboo
ja	魔女の旅々	101402	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Dishonored 2	100472	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Mayo county football team	100378	Category:Witchcraft > Curses > Sports-related curses
de	Andromeda (Mythologie)	99924	Kategorie:Sagengestalt > Mythischer Herrscher > Königin der griechischen Mythologie
de	Harry Potter	99828	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
fr	Lieu du sabbat	99825	Catégorie:Sorcellerie
fr	Jean XXII	99517	Catégorie:Sorcellerie > Étude de la sorcellerie > Auteur de traité sur la sorcellerie
ja	シビュラの託宣	99017	Category:シャーマニズム > シビュラ
ja	ウィッチクラフトワークス	98597	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Robert Johnson	98221	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
ja	サイレント・ウィッチ	98218	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
ja	天満大自在天神	97847	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
en	Spirit possession	97729	Category:Witchcraft > Curses > Demonic possession
ja	干支	97698	Category:呪術 > 陰陽道
fr	Motherland: Fort Salem	97696	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
es	The Owl House	97579	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
en	The Blair Witch Project	97434	Category:Witchcraft > Fiction about witchcraft > Blair Witch
en	Code Geass	96854	Category:Witchcraft > Curses > Fiction about curses
ja	ペルヒタ	96699	Category:魔女
ja	ねずみ男	96336	Category:日本の妖怪 > 水木しげるオリジナルの妖怪
es	Política en Harry Potter	96331	Categoría:Brujería > Brujería en la ficción > Harry Potter
fr	Saison 8 d'American Horror Story	96229	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	Joseph Smith Papyri	96039	Category:Witchcraft > Incantation > Book of the Dead
en	Hugo (game show)	95798	Category:Witchcraft > Fiction about witchcraft > Television shows about witchcraft
fr	Sorcière	95525	Catégorie:Sorcellerie > Sorcellerie féminine > Sorcière
en	Hope Diamond	95172	Category:Witchcraft > Curses
es	Brujas 5	94878	Categoría:Brujería > Brujos ficticios
fr	Kiki la petite sorcière	94801	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
ja	道教	94608	Category:呪術 > 陰陽道
zh	老子	94596	Category:中國民間信仰 > 中国人物神
en	Resident Evil Village	94557	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Resource curse	94385	Category:Witchcraft > Curses
zh	诸葛亮	94185	Category:中國民間信仰 > 中国民间信仰神祇
en	Final Fantasy VIII	93788	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
zh	韩信	93563	Category:中國民間信仰 > 中国人物神
de	Harry Potter (Filmreihe)	93490	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Judas Iscariot	93383	Category:Witchcraft > Curses > Demonic possession
fr	Winx Club	93308	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
ja	ベヨネッタ3	92922	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
ja	魔法少女・オブ・ジ・エンド	92788	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
zh	岳飞	92771	Category:中國民間信仰 > 中国人物神
fr	Severus Rogue	92677	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Bell Witch	91677	Category:Witchcraft > American witchcraft
en	The Chronicles of Narnia: Prince Caspian	91323	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Zatanna (serie limitada)	91136	Categoría:Brujería > Brujos ficticios > Zatanna
es	Harry Potter (serie de televisión)	90654	Categoría:Brujería > Brujería en la ficción > Harry Potter
en	Argonautica	90150	Category:Witchcraft > Fiction about witchcraft > Works about Medea
en	Oz the Great and Powerful	89943	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Our Gang	89287	Category:Witchcraft > Curses
en	Dragon Age: Origins	89088	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Tumbbad	88738	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Carrefour dans le folklore et la mythologie	88150	Catégorie:Sorcellerie
fr	Charmed	88067	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	Cotton Mather	87775	Category:Witch trials > Accusers in witch trials
fr	Le Magicien d'Oz (film, 1939)	87752	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
de	Avengers: Infinity War	87273	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
es	La materia oscura (serie de televisión)	87264	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
de	Samsonfigur	87077	Kategorie:Sagengestalt > Fabelwesen > Riese
ja	節分	86853	Category:日本の妖怪 > 鬼
en	Wandering Witch: The Journey of Elaina	86498	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
de	Attila	86170	Kategorie:Sagengestalt > Germanische Sagengestalt
en	Evil eye	85841	Category:Witchcraft > Curses
en	Wandering Jew	85218	Category:Witchcraft > Curses
ja	日本の妖怪一覧	85107	Category:日本の妖怪
en	Bertram Fletcher Robinson	84488	Category:Witchcraft > Curses
de	Anna Göldin (Roman)	84432	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur > Hexenverfolgung in der Literatur
es	Akenatón	84126	Categoría:Brujería > Maldiciones > Damnatio memoriae
fr	Dahut	83279	Catégorie:Sorcellerie > Magicien ou sorcier de légende
es	Juicios por brujería en la Edad Moderna	82942	Categoría:Brujería
de	Parzival	82865	Kategorie:Sagengestalt > Keltische Sagengestalt
de	Thor	82275	Kategorie:Sagengestalt > Drachentöter
es	Satanismo laveyano	82195	Categoría:Brujería > Satanismo
en	A Glastonbury Romance	82160	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
en	Hocus Pocus 2	82042	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	ゼルダ無双	81794	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
de	Buffy – Im Bann der Dämonen	81439	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
fr	Hélène (mythologie)	81439	Catégorie:Sorcellerie > Magicien ou sorcier de légende > Magicien de la mythologie grecque
fr	Sorcellerie	81005	Catégorie:Sorcellerie
de	Odysseus	80858	Kategorie:Sagengestalt > Mythischer Herrscher > König der griechischen Mythologie
en	Idylls of the King	80507	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
es	Caza de brujas	79216	Categoría:Brujería > Procesos por brujería
de	Agatha All Along	78998	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
de	Puella Magi Madoka Magica	78801	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
it	Lord Voldemort	78602	Categoria:Stregoneria > Stregoni immaginari
ja	パラレルパラダイス	78399	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
en	Zduhać	78266	Category:European witchcraft
en	The Enchanted Pig	78023	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
de	Engel	77950	Kategorie:Sagengestalt > Fabelwesen
en	JoJolion	77814	Category:Witchcraft > Curses > Fiction about curses
en	Hermetica	77745	Category:Witchcraft > Grimoires
en	American Horror Story: Coven	77442	Category:Witchcraft > Fiction about witchcraft > Witch hunting in fiction
ja	うみねこのなく頃に (アニメ)	77113	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
ja	ラピスリライツ 〜この世界のアイドルは魔法が使える〜	76749	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
en	Dharani	76576	Category:Witchcraft > Incantation > Magic words
en	Ni no Kuni: Wrath of the White Witch	76538	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
fr	Fraternité Hermétique de Louxor	76508	Catégorie:Sorcellerie > Organisation qui s'intéresse à la magie
de	Charmed – Zauberhafte Hexen	76481	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
ja	猫娘 (ゲゲゲの鬼太郎)	76454	Category:日本の妖怪 > 水木しげるオリジナルの妖怪
en	XxxHolic	76305	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
fr	Rois mages	76076	Catégorie:Sorcellerie > Magicien ou sorcier de légende > Rois mages
en	Black Magic (Little Mix song)	75883	Category:Witchcraft > Fiction about witchcraft > Songs about witches
es	Zatanna	75814	Categoría:Brujería > Brujos ficticios
en	Secrets of the Silent Witch	75749	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
zh	生肖	75745	Category:中國民間信仰
ja	蝦夷	75468	Category:日本の妖怪 > 鬼
ja	連盟空軍航空魔法音楽隊ルミナスウィッチーズ	74842	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
ja	奥さまは魔女 (テレビドラマ)	74831	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたテレビドラマ
fr	Jules Michelet	74620	Catégorie:Sorcellerie > Étude de la sorcellerie > Auteur de traité sur la sorcellerie
it	Dottor Strange	74541	Categoria:Stregoneria > Stregoni immaginari
en	Flint the Time Detective	74459	Category:European witchcraft > Imps
zh	苏轼	74386	Category:中國民間信仰 > 中国人物神
fr	Magie et symbolique du clou	74376	Catégorie:Sorcellerie
es	Bruja	73958	Categoría:Brujería > Brujas (brujería)
en	The Classroom of a Black Cat and a Witch	73762	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
ja	魔女の下僕と魔王のツノ	73604	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
ja	オズの魔法使い	73537	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした小説
ja	桃太郎	73360	Category:日本の妖怪 > 鬼
en	Ruddigore	73329	Category:Witchcraft > Fiction about witchcraft
en	Pirates of the Caribbean: Dead Man's Chest	73236	Category:Witchcraft > Curses > Flying Dutchman
de	Huangdi	72944	Kategorie:Sagengestalt > Chinesische Sagengestalt > Urkaiser Chinas
ja	ふらいんぐうぃっち	72843	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
zh	媽祖	72838	Category:中國民間信仰 > 福建民間信仰
es	Influencias y analogías en Harry Potter	72106	Categoría:Brujería > Brujería en la ficción > Harry Potter
ja	平将門	71704	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
de	Geisterjäger John Sinclair	71249	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
en	Thelema	71105	Category:Witchcraft > Incantation > Magic words
en	Robin Morgan	70619	Category:Witchcraft > Judaism and witchcraft > Wiccans of Jewish descent
fr	Lucifer (série télévisée)	70595	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Diable dans la fiction
en	Pirates of the Caribbean: At World's End	70405	Category:Witchcraft > Curses > Flying Dutchman
en	Deals with the Devil in popular culture	70405	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
en	Mon Colle Knights	70264	Category:European witchcraft > Imps
en	Ranking of Kings	70219	Category:Witchcraft > Curses > Fiction about curses
en	Harry Potter influences and analogues	70135	Category:Witchcraft > Fiction about witchcraft > Harry Potter
en	Puella Magi Madoka Magica (film series)	70043	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	The Death of Koschei the Deathless	69788	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
es	Brujería en Europa	69777	Categoría:Brujería
fr	Charmed (série télévisée, 2018)	69250	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
ja	バンジョーとカズーイの大冒険	68917	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
de	Verfolgung von Menschen mit Albinismus	68819	Kategorie:Hexerei > Moderne Hexenverfolgung
ja	ヤダモン	68802	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Hocus Pocus (1993 film)	68770	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	L'Atelier des sorciers	68758	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Sorcellerie dans la bande dessinée
en	The Wonderful Wizard of Oz	68561	Category:Witchcraft > Fiction about witchcraft > Witchcraft in written fiction
ru	Аэндорская волшебница	68413	Категория:Ведьмы
ja	錬金術	68197	Category:呪術
es	Samhain	67901	Categoría:Brujería > Wicca > Festividades wiccanas
en	Persecution of people with albinism	67873	Category:Witchcraft > African witchcraft
en	Sally the Witch	67800	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
de	Hexenverfolgung im Hochstift Eichstätt	67442	Kategorie:Hexenverfolgung > Hexenverfolgung nach räumlicher Zuordnung > Hexenprozesse in Deutschland
es	Profanación de la hostia	67290	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
es	Herejía de Orleans	67006	Categoría:Brujería > Brujería por país > Brujería en Francia
ja	展覧会の絵	66984	Category:魔女 > バーバ・ヤーガ
en	Stardust (2007 film)	66519	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Wilder Mann	66413	Kategorie:Sagengestalt
en	Elizabeth Báthory	66224	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
en	The Conjuring	66209	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Das Bildnis des Dorian Gray	66077	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
en	Ojamajo Doremi	66056	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
it	Stregoneria	65995	Categoria:Stregoneria
en	Ichi the Witch	65750	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	Hugo (franchise)	65740	Category:Witchcraft > Fiction about witchcraft > Witch hunting in fiction
en	Halloween III: Season of the Witch	65458	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Suspiria (film, 2018)	65109	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Film sur la sorcellerie
en	Islam and magic	65072	Category:Witchcraft
fr	Yamada-kun and the Seven Witches	64983	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	Groovie Goolies	64892	Category:European witchcraft > Imps
fr	Front-de-cuivre	64883	Catégorie:Sorcellerie > Magicien ou sorcier de légende
en	His Dark Materials	64802	Category:Witchcraft > Fiction about witchcraft > Witchcraft in written fiction
fr	Voldemort	64661	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Sator Square	64633	Category:Witchcraft > Incantation
es	Nico Minoru	64601	Categoría:Brujería > Brujos ficticios
ja	まじもじるるも	64507	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	64434	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Agatha All Along	64386	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
es	Ruddigore	64309	Categoría:Brujería > Brujería en la ficción
en	Prince Wolf	63953	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
ja	魔女大戦 32人の異才の魔女は殺し合う	63833	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
ja	白雪姫	63784	Category:魔女 > 魔女を題材とした作品
fr	Chocola et Vanilla	63670	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	The Witch (2015 film)	63649	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	The Feather of Finist the Falcon	63579	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
es	Asesinatos rituales de Toa Payoh	63378	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
en	Descendants: The Rise of Red	63370	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Fandom de Harry Potter	63233	Categoría:Brujería > Brujería en la ficción > Harry Potter
