"友情扮演書"	""	"羈絆"	""	"標籤"	""	"問題"	""	"動作"	""	""
""	""	""	""	""	""	""	""	"愛操心"	"讓我幫你"	"如果一位玩家角色即將執行一個動作，你可以花費 1 點友情點數並說明你如何介入他的行動。該玩家角色可以使用你的屬性來代替他自己的屬性執行該動作。"
""	""	""	""	""	""	""	""	"愛操心"	"分享生活"	"當一位玩家角色即將遭受阿特洛波斯之禍時，你可以將你所有的友情點數交給他，代替他承受。"
""	""	""	""	""	""	""	""	"心之所繫"	"友情的力量"	"在聚會結束時，如果有人在你在場的情況下執行了生活故事動作，或你與某條羈絆進行了一段親密場景，獲得 1 點友情點數。"
""	""	""	""	""	""	""	""	"心之所繫"	"感染力十足的笑容"	"每次執行生活故事動作時，選擇一位在場的玩家角色（包括你自己），該玩家角色立即獲得 1 點友情點數。"
""	""	""	""	""	""	""	""	"心之所繫"	"傾聽心聲"	"當你與一位擁有羈絆的角色在一起時，花費 1 點友情點數，然後提出以下問題，對方必須誠實回答： ✽ 你有什麼煩惱嗎？ ✽ 我怎樣才能讓你開心？"
""	""	""	""	""	""	""	""	"心之所繫"	"光明永不消逝"	"當你執行生活故事動作時，花費 1 點友情點數以消除 2 點黑暗點數。"
""	""	""	""	""	""	""	""	"純真羈絆"	"心意相通"	"你和你最好的朋友在聚會開始時各獲得 1 點友情點數。"
""	""	""	""	""	""	""	""	"純真羈絆"	"你和我在一起"	"當你執行一個動作來嘗試幫助你最好的朋友時，擲骰追加 +1。"
""	""	""	""	""	""	""	""	"純真羈絆"	"心心相印"	"當你最好的朋友花費 1 點友情點數時，你可以代替她花費。"
""	""	""	""	""	""	""	""	"純真羈絆"	"相互支持"	"如果你們兩人都在場景中，友情點數可以吸收 4 點傷痛而非 2 點。"
""	""	""	""	""	""	""	""	"勁敵"	"天生的競爭者"	"在聚會結束時，如果你和你的勁敵之間展現了某種形式的對抗，你和她各獲得 1 點友情點數。"
""	""	""	""	""	""	""	""	"勁敵"	"她不可能比我強"	"當你的勁敵執行懲戒黑暗或克服危險動作並獲得 10+ 的結果時，你可以加 +1 來超越同一個挑戰。"
""	""	""	""	""	""	""	""	"勁敵"	"看著我……拜託了"	"當你花費 1 點友情點數且你的勁敵正在觀察你時，對一次懲戒黑暗動作獲得懲罰 +2，或對一個傷痛來源獲得堅韌 +2。"
""	""	""	""	""	""	""	""	"勁敵"	"總有一天打敗你的會是我，不是他們"	"當你的勁敵受到傷痛且你有某種方式保護她時，你可以花費 1 點友情點數來代替她承受傷痛。"
""	""	""	""	""	""	""	""	"前輩"	"做得好，後輩"	"當你與你的後輩一起執行生活故事動作時，你可以選擇一個額外選項。"
""	""	""	""	""	""	""	""	"前輩"	"我必須成為她的榜樣"	"如果你的後輩在場，你可以花費 1 點友情點數將一次 6 或以下的擲骰結果提升為 7 到 9，或將 7 到 9 提升為 10+。"
""	""	""	""	""	""	""	""	"前輩"	"記住這個教訓"	"說明你如何幫助你的後輩，或描述過去一個能在此刻派上用場的教訓，然後花費 1 點友情點數。 如果對方是玩家角色，他可以使用你的一項屬性數值來執行下一個動作。 如果對方是非玩家角色，你的下一個動作加 +1。"
""	""	""	""	""	""	""	""	"前輩"	"她是我的後輩"	"花費 1 點友情點數來將你的後輩從迫在眉睫的危險中拯救出來。作為代價，你承受一項後果。"
""	""	""	""	""	""	""	""	"獨行俠"	"我的祕密守護者"	"當你執行只有你的知己在場的生活故事動作，並向她透露一個祕密時，你們兩人各獲得 1 點友情點數。"
""	""	""	""	""	""	""	""	"獨行俠"	"旅途中的綠洲"	"如果你向知己傾訴煩惱並讓自己振作起來，花費 1 點友情點數。在聚會結束時，你不執行抵抗黑暗動作，但保留黑暗點數。"
""	""	""	""	""	""	""	""	"獨行俠"	"分擔重擔"	"當你和知己談論彼此的煩惱和問題時，花費 1 點友情點數。然後消除你們其中一人的 2 點黑暗點數，或各消除 1 點。"
""	""	""	""	""	""	""	""	"獨行俠"	"生命中的那個人"	"花費 1 點友情點數，如同你執行了永遠在你身邊動作般獲得 3 點。這些點數只能用於你的知己，並且在場景結束前不會消失。"
""	""	""	""	""	""	""	""	"姊妹會"	"共融"	"在聚會開始時獲得 3 點友情點數。然後，你可以將這些點數隨意分配給你的姊妹們。"
""	""	""	""	""	""	""	""	"姊妹會"	"我的姊妹們"	"當一條標記為姊妹的羈絆（或你自己）花費 1 點友情點數時，任何其他標記為姊妹的羈絆可以代替她花費。代為花費友情點數的人必須說明她如何支持對方，或描述過去她曾這樣被支持的類似經歷。"
""	""	""	""	""	""	""	""	"姊妹會"	"握住我的手，一起向前"	"在戰鬥中的任何時刻，當你向姊妹們請求幫助時，你可以花費 1 點友情點數。如果你不是擁有最多光點的人，你獲得 1 點光點。"
""	""	""	""	""	""	""	""	"姊妹會"	"一心同體"	"當你舉行儀式重新確認姊妹之間的羈絆時，你可以使用「一心同體」動作來代替生活故事。然後任何參與者可以花費任意數量的友情點數來達成以下其中一項效果： ✽ 花費 1 點友情點數以消除 1 點黑暗點數。 ✽ 將 1 點友情點數交給另一位玩家角色。 ✽ 花費 1 點友情點數以消除一項後果。"
""	""	""	""	""	""	""	""	"大姐頭"	"派對開始！！！"	"每當你執行生活故事動作且所有夥伴成員都在場時，獲得 1 點友情點數。"
""	""	""	""	""	""	""	""	"大姐頭"	"上吧，為了她！"	"花費 1 點友情點數讓你的夥伴出現在場景中，準備好為你提供幫助。"
""	""	""	""	""	""	""	""	"大姐頭"	"別擔心，我們在這裡"	"當你受到傷痛或陷入危險時，花費 1 點友情點數；一位夥伴成員代你承受這次的傷害與影響，並在該場景剩餘時間內無法行動。"
""	""	""	""	""	""	""	""	"大姐頭"	"在一起我們就是最強的"	"當你接受標記為夥伴的羈絆的幫助時，花費 1 點友情點數以重擲該次擲骰中的一顆骰子。"
