"扮演書"	"los Libretos"	"說明"	"說明"	"說明"	"屬性選項"	"說明"	""	"挑戰"	"保護"	"思慮"	"情感"	"奉獻"	""	""	""	""	""	""	""	""	""	""	""	""	""	"動作"	""	"動作"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	"鬥士"	"摧毀 +1"	"心之力（　）"	"堅韌 +1"	""	""	"勇者"	""	""	"衛士"	"衛士進階動作"	"衛士進階動作"	""	"參謀"	"祕密之鑰"	"若有人試圖操控你以獲取關於他人或你自己的情報，你可以選擇封閉自我： 擲骰+思慮： 10+ 你避免透露任何情報，對方放棄嘗試。 7-9 你可以選擇透露情報，或者以 1 點黑暗點數為代價說一個彌天大謊。無論謊言多麼荒唐，對方都會相信。"	"衛士"	"契約傀儡"	"黑暗護甲"	"獲得 1 點黑暗點數，獲得護甲 +X。X 等於你的黑暗等級。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"鬥士"	"懲罰 +2"	"懲罰 +1"	"心之力 A"	""	""	"勇者"	"救世主"	"你的「失去光明」動作擲骰結果追加 +1。"	"衛士"	"提升一項屬性（上限 2）"	"提升一項屬性（上限 3）"	""	"參謀"	"隱身匿跡"	"你可以花費 1 點友情點數，讓自己不引人注目，或從場景中消失。"	"衛士"	"契約傀儡"	"混亂的理想"	"當你威脅、試圖羞辱、懲罰或欺凌某個你認為冒犯了與你有羈絆之人的對象時，可以使用保護屬性。獲得 1 點黑暗點數。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"心之力"	"堅韌 +1"	"護甲 +1"	""	""	"勇者"	""	""	"衛士"	"友情扮演書動作"	"友情扮演書動作"	""	"衛士"	"今天我來煮飯"	"當你出現在「生活故事」動作中，並以某種特別的方式支援該活動時，主角的擲骰追加 +1。"	"鬥士"	"契約傀儡"	"黑暗領主之武器"	"獲得 1 點黑暗點數，在場景剩餘時間內獲得摧毀 +X 或懲罰 +X。X 等於你的黑暗等級。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"昇華 +1"	"心之力（　）"	"昇華 +1"	""	""	"勇者"	"不屈"	"使用後果時，吸收 6 點而非 4 點。"	"衛士"	"解鎖光之裝束的超級形態"	"解鎖光之裝束的凱旋形態"	""	"衛士"	"休想碰她"	"若一位玩家角色承受傷痛（即使被抵消），或一位無辜者被黑暗存在攻擊，你的下一次「懲戒黑暗」擲骰使用保護屬性。"	"鬥士"	"契約傀儡"	"釋放內在的黑暗"	"獲得 1 點黑暗點數。接著獲得等同於你黑暗等級的活力點數。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"昇華 +1"	"懲罰 +1"	"心之力（　）"	""	""	"參謀"	"獲得以下動作："	""	"衛士"	"獲得一項光之盾動作"	""	""	"衛士"	"她守護我們，輪到我們了"	"每當你承受一項後果時，選擇一位玩家角色。該玩家角色獲得懲罰 +1 與摧毀 +1，直到脫下光之裝束為止。即使該玩家角色再次被選為目標，效果也不會累積。"	"鬥士"	"契約傀儡"	"訴諸最黑暗的情感"	"獲得 1 點黑暗點數和 1 點活力。使用暗點代替光點計算你的能力量表。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"聖母"	"心之力 P"	"護甲 +1"	"堅韌 +1"	""	""	"參謀"	"萬事通"	"每當你需要某方面的知識時： 擲骰+思慮： 10+ 提出一個問題，並說明你是如何知道的。 7-9 額外附加：你知道的事情有部分錯誤，或者可能遺漏了某些細節。 可選問題： ✽ 這個地方、物品或人物的歷史是什麼？ ✽ 這裡最近發生了什麼事？ ✽ 它的弱點或缺陷是什麼？ 接著，你或另一位玩家角色在與所獲答案相關的下一次動作中追加 +1。"	"鬥士"	"鬥士進階動作"	"鬥士進階動作"	""	"衛士"	"我不會再失敗了"	"每當你在動作中擲出 6 以下時，下一次擲骰追加 +1。"	"鬥士"	"契約傀儡"	"黑暗再生"	"獲得 X 點黑暗點數，取消等同於所獲點數的後果標記。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"聖母"	"堅韌 +1"	"心之力（　）"	"昇華 +1"	""	""	"參謀"	"選擇其一："	""	"鬥士"	"提升一項屬性（上限 2）"	"友情扮演書動作"	""	"衛士"	"我們同在"	"當你使用「永遠在你身邊」給予 +1 時，下一次動作改為給予 +2。"	"偶像"	"契約傀儡"	"毒性人格"	"當你參與生活故事動作時，獲得 1 點黑暗點數。從每位同樣參與且與你有羈絆的玩家角色那裡各獲得 1 點友情點數。接著，詢問你是如何讓各位玩家角色感到難受的。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"聖母"	"昇華 +1"	"昇華 +1"	"心之力 P"	""	""	"參謀"	"計中計"	"當你陷入困境時，可以用倒敘的方式表示你有一個備用方案： 擲骰+思慮： 10+ 一切順利，準備好的物品或應變措施完美運作。 7-9 計畫可以按原樣執行，但有些微不同之處。 6- 全盤失敗。也許敵人已知道你的意圖，或是某些變化使計畫不再有效。"	"鬥士"	"獲得一項戰士之道動作"	"提升一項屬性（上限 3）"	""	"衛士"	"你對我的朋友有意見嗎？"	"當你試圖保護某人、使用「發自內心的話語」動作時，以保護屬性代替情感屬性。"	"偶像"	"契約傀儡"	"眾生之上的女王"	"當你公開羞辱或徹底擊垮某人時，立即獲得 1 點人氣值或 2 點友情點數。接著獲得 1 點黑暗點數。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"心之力 A"	"摧毀 +1"	"懲罰 +1"	""	""	"參謀"	""	""	"鬥士"	"解鎖光之裝束的超級形態"	"解鎖光之裝束的凱旋形態"	""	"鬥士"	"正義之拳"	"當任何玩家角色（包含你自己）標記一項後果，且你為此斥責黑暗使徒時，你的下一次「懲戒黑暗」擲骰追加 +1。"	"偶像"	"契約傀儡"	"黑暗主宰"	"當你描述如何召喚一群服從你命令的黑暗使徒時，獲得 1 點黑暗點數。在這些使徒於場景中幫助你的期間，視為你擁有摧毀 +2 和懲罰 +1 的能力，不受能力等級限制。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"懲罰 +1"	"心之力 A"	"摧毀 +1"	""	""	"參謀"	"日常記事與購物清單"	"當你攜帶背包、手提袋或類似物品，並從中翻找當下需要的東西時： 擲骰+思慮： 10+ 你找到了需要的物品。 7-9 裡面沒有你要找的確切物品，而是類似的東西，或者你要找的東西有嚴重的損壞。"	"鬥士"	"友情扮演書動作"	""	""	"鬥士"	"堅不可摧"	"你可以花費 1 點活力來抵消 8 點傷痛。"	"偶像"	"契約傀儡"	"黑暗女神"	"每次你執行變身動作時，獲得 1 點黑暗點數。改變光之裝束的所有特徵（主題、稱號、色彩等）以反映這個新狀態。同時將你的能力量表替換為以下內容。這個新能力量表使用暗點來代替光點計算等級。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"昇華 +1"	"昇華 +1"	"心之力 A"	""	""	"衛士"	"獲得："	""	"偶像"	"偶像進階動作"	"偶像進階動作"	""	"鬥士"	"我的意志無所不能"	"每當你試圖克服由恐懼或不安全感引發的危險時，擲骰追加 +1。"	"聖母"	"契約傀儡"	"不淨之魔法"	"當你吟誦黑暗咒語後觸發懲戒黑暗動作時，獲得 1 點黑暗點數，並使用奉獻代替挑戰。"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"衛士"	"心靈之盾"	"每當一位玩家角色承受一項後果時，你可以將其加到本場景中你們已承受的所有後果總數中。接著，查閱以下清單。你獲得該等級的優勢以及所有更低等級的優勢。場景結束時，你失去所有效果。 ✽ 一項後果：獲得 1 點光點。 ✽ 兩項後果：懲罰 +2。 ✽ 三項後果：護甲 +1 與堅韌 +1。 ✽ 四項後果：保護屬性 +1。 ✽ 五項後果：你與另一位玩家角色各獲得 1 點光點。"	"偶像"	"提升一項屬性（上限 2）"	"提升一項屬性（上限 3）"	""	"鬥士"	"你的對手是我"	"當某個敵人（或任何人）正騷擾你想保護的對象，而你試圖吸引其注意力時： 擲骰+挑戰： 10+ 選擇兩個選項。 7-9 選擇一個選項。 可選選項： ✽ 敵人眼裡只有你。 ✽ 你震懾了對手，你的下一次與其相關的動作追加 +1。 ✽ 下一次有人（你除外）從該敵人處承受傷痛時，獲得護甲 +3。"	"聖母"	"契約傀儡"	"屈從於另一種力量"	"當你觸發神聖力量動作來產生神聖力量時，額外獲得等同於你黑暗等級的點數。接著獲得 1 點黑暗點數。"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"衛士"	"選擇一項動作："	""	"偶像"	"友情扮演書動作"	"友情扮演書動作"	""	"鬥士"	"同心協力"	"當你激勵同伴並高喊著衝入戰場時，花費 1 點活力： 擲骰+挑戰： 10+ 所有跟隨你的玩家角色獲得 1 點光點。同時適用 7-9 的結果。 7-9 所有跟隨你的玩家角色各取消一項自選的後果。"	"聖母"	"契約傀儡"	"黑暗女巫"	"將以下選項加入你的神聖力量動作： ✽ 腐化：獲得 1 點暗點（花費 3 點）。 ✽ 轉移痛苦：將一項後果從一位玩家角色轉移到另一位。"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"衛士"	"由我代受苦痛"	"當一位玩家角色受到傷害時，你可以自己承受一項後果來減少該次攻擊 8 點傷痛。"	"偶像"	"解鎖光之裝束的超級形態"	"解鎖光之裝束的凱旋形態"	""	"鬥士"	"人生即是戰場"	"當你透過衝突和對抗與他人交流時，可以在執行「發自內心的話語」動作時使用挑戰屬性。"	"聖母"	"契約傀儡"	"黑暗追隨者"	"當你呼喚一位黑暗使徒的名字以讓其將部分力量讓渡給你時，可以在下一次動作中使用奉獻屬性。接著獲得 1 點黑暗點數。"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"衛士"	""	""	"偶像"	"「登上舞台……Let's go」MAX+"	""	""	"偶像"	"我無法壓抑我的感情，好嗎？"	"選擇一項基礎動作，每當你將自己的情緒和感受傾注到行動中時，可以使用情感來代替指定的屬性。"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"衛士"	"在我的庇護下"	"當你在與黑暗存在的戰鬥中觸發「永遠在你身邊」時，額外產生 1 點。即使擲骰失敗也會產生這 1 點。"	"聖母"	"聖母進階動作"	"聖母進階動作"	""	"偶像"	"這一切好無聊……來讓氣氛熱鬧起來吧！"	"當偶像作為主角執行「生活故事」動作時，無論結果如何，都會觸發 MC 的一項反應。所有在場的玩家角色獲得一個額外選項，偶像則獲得 1 點人氣值或一個額外選項。"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"鬥士"	"獲得："	""	"聖母"	"提升一項屬性（上限 2）"	"提升一項屬性（上限 3）"	""	"偶像"	"觀眾正這麼期待著"	"變身後，如果有非魔法少女的人能看見你，展現你最為人知或出眾的特質。獲得 1 點光點。"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"鬥士"	"狂野之心"	"當你執行變身動作時，獲得 3 點活力。每當能力量表提升 1 點時，獲得 1 點活力。"	"聖母"	"友情扮演書動作"	"友情扮演書動作"	""	"偶像"	"你們沒注意到他們看彼此的神情嗎？"	"每場景一次，當你停下來觀察一群人並花費 1 點人氣值時，可以提出以下問題之一： ✽ 誰是最重要的人？ ✽ 我能做什麼來吸引所有人的注意？ ✽ 我怎樣才能製造混亂？ ✽ 有多少「群體」？ ✽ 誰跟……會是好配對？"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"鬥士"	"選擇一項戰士之道動作："	""	"聖母"	"解鎖光之裝束的超級形態"	"解鎖光之裝束的凱旋形態"	""	"偶像"	"別害羞，你認識……嗎？"	"當你在場景中，介入一段某位玩家角色正在執行「發自內心的話語」動作的對話，花費 1 點人氣值，讓該動作擲 3d6 並捨棄最低的結果。"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"鬥士"	"心中之刃"	"當你處於變身狀態並執行「懲戒黑暗」時，可以花費 1 點活力，在該動作中獲得懲罰 +3。"	"聖母"	"獲得「神聖力量」的三個額外選項"	""	""	"偶像"	"沒錯，這就是我……"	"當你處於變身狀態並面對敵人，展現你在世界上的出眾特質時，花費 1 點人氣值並選擇一個選項： ✽ 摧毀 +1 ✽ 昇華 +1 ✽ 懲罰 +1"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"鬥士"	""	""	""	""	""	""	"聖母"	"生活美德"	"選擇一項基礎動作，現在當你運用天真與善良時，可以使用奉獻來代替指定的屬性。"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"鬥士"	"天生戰略家"	"每當你在戰鬥中給出建議或下達指令時，可以花費 1 點活力來給予該玩家角色的下一次動作 +1。"	""	""	""	""	"聖母"	"靈魂之窗"	"當你注視某人的雙眼並執行「發自內心的話語」動作時，擲骰追加 +1。"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"獲得："	""	""	""	""	""	"聖母"	"永遠可以更好"	"當你執行「生活故事」動作時，你可以選擇不選取任何選項，改為在結果 7-9 時消除所有參與者的 1 點黑暗點數，或在結果 10+ 時消除 2 點。"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"登上舞台……Let's go"	"在聚會開始時，偶像獲得 1 點人氣值。每當她做了某件吸引注意力、讓焦點集中在自己身上的事時，獲得 1 點人氣值。她的人氣值永遠不能超過 1 點。"	""	""	""	""	"聖母"	"直覺與預感"	"當你執行「真理之光」動作時，每場景一次可以不擲骰直接提出一個問題。"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	""	""	""	""	""	""	"聖母"	"永不放棄"	"當你處於「落敗」狀態時，你可以選擇消除該後果。為此，場景結束時你仍須照常執行「失去光明」動作。此動作每場景只能使用一次。"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"我要感謝我的粉絲"	"當你在粉絲面前時，花費 1 點人氣值並獲得以下兩種效果之一： ✽ 將一次 6 以下的結果轉為 7-9。 ✽ 將一次 7-9 的結果轉為 10+。"	""	""	""	""	"聖母"	"沒事了，明天一切都會好起來"	"當有人獲得 1 點黑暗點數且你上前給予鼓勵時，問對方這是否讓他們感覺好些。若回答為是，接著： 擲骰+奉獻： 10+ 消除該黑暗點數。 7-9 消除該黑暗點數，選擇其一： ✽ 被選中的玩家角色與你各失去 1 點友情點數。 ✽ 該玩家角色承受一項後果。 ✽ 你獲得 1 點黑暗點數。"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"你認為他們會選誰？"	"當你試圖說服一個人或一群人，而他們給你製造了某種麻煩時，你可以花費 1 點人氣值向他們提供某些東西來獲得他們的協助。"	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"透過成長獲得："	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"偶像"	"「登上舞台……Let's go」MAX+"	"當偶像獲得此成長時，使用「登上舞台……Let's go」動作時，人氣值上限提升至 3 點。"	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"聖母"	"獲得："	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"聖母"	"神聖力量"	"從清單中選擇三項效果。每項效果消耗 1 點： ✽ 撫慰：一位玩家角色在下一次擲骰時不必因已標記的後果而承受 -2 的減值。 ✽ 光之護盾：為一位玩家角色抵消 5 點傷痛，或拯救一位非玩家角色。 ✽ 祝福攻擊：另一位玩家角色在下一次「懲戒黑暗」擲骰的懲罰或摧毀追加 +2。 ✽ 神聖支援：一位玩家角色在下一次擲骰追加 +1。 ✽ 束縛黑暗：使一個敵人陷入不利狀態。 ✽ 療癒：消除一位玩家角色的「落敗」後果。 當你凝聚理想的力量和心靈之光時： 擲骰+奉獻： 10+ 獲得 3 點。 7-9 獲得 1 點。 若你再次執行神聖力量動作或場景結束，你將失去所有點數。你可以花費 1 點來發動一項神聖力量效果。"	""	""	""	""	""	""	""	""	""	""	""
