"盟約"	"盟約說明"	"盟約"	"吉祥物"	"吉祥物說明"	"名稱"	"來歷"	"外觀"	"盟約"	""	""	""	"盟約"	"額外功能"	""	"黑暗"	""	"盟約動作"	""	""
""	""	""	""	""	""	""	""	"光明子女"	"為什麼不能讓人知道真相？"	""	""	""	""	""	""	""	"正義騎士"	"光明之助"	"從以下清單中選擇一項光之裝束能力： ✽ 摧毀 +1。 ✽ 懲罰 +1。 ✽ 堅韌 +1。 ✽ 護甲 +1。 此能力始終額外可用，不受形態或能力等級影響。"
""	""	""	""	""	""	""	""	"正義騎士"	"黑暗世界是什麼？"	""	""	""	""	""	""	""	"正義騎士"	"心靈連線"	"玩家角色擁有一種魔法連結，無論身在何處都能彼此通訊。這份連結可以傳遞思緒、情感，甚至彼此的位置。 要使用此能力，兩位相連的玩家角色必須各自手持護符。"
""	""	""	""	""	""	""	""	"正義騎士"	"黑暗代理人是什麼？"	""	""	""	""	""	""	""	"正義騎士"	"同進同退"	"當一位玩家角色在失去光明動作中擲出 6 以下時，可以選擇將結果改為 10 以上，但會獲得一個黑暗等級。"
""	""	""	""	""	""	""	""	"正義騎士"	"誰能看到代理人？"	""	""	""	""	""	""	""	"正義騎士"	"分享光明"	"當一位玩家角色獲得 1 點光點時，消耗 1 點友情點數。接著將該光點交給另一位光點數等於或少於自己的玩家角色。"
""	""	""	""	""	""	""	""	"正義騎士"	"代理人如何干涉地球？"	""	""	""	""	""	""	""	"契約傀儡"	"審問者直覺"	"當你不知道該怎麼做、陷入困境且需要稍作休息時，呼喚監護者的名字，傾聽你的內心： 擲骰 + 奉獻 10+ 選擇兩個問題。 7-9 選擇一個問題，但答案會帶有某種後果： ✽ 誰能告訴我想知道的事？ ✽ 我可以在哪裡找到……？ ✽ 關於……有什麼傳聞？ ✽ 黑暗可能藏匿在哪裡？ ✽ 誰從……中獲益最多？"
""	""	""	""	""	""	""	""	"正義騎士"	"光明之界在哪裡？"	""	""	""	""	""	""	""	"契約傀儡"	"再生"	"如果你穿戴光之裝束並請求監護者幫助你恢復，獲得 2 點黑暗點數。接著移除一項後果的標記。"
""	""	""	""	""	""	""	""	"正義騎士"	"為什麼會有衝突？"	""	""	""	""	""	""	""	"契約傀儡"	"監護者之力"	"每場景一次，當你集中精神引導監護者內在的力量時，獲得 1 點黑暗點數。移除一個心之力上的既有標記。"
""	""	""	""	""	""	""	""	"正義騎士"	"使者是什麼？"	""	""	""	""	""	""	""	"契約傀儡"	"深淵的武器與法術"	"當玩家角色執行變身動作時，可以將護符轉化為武器，或藉由監護者的能量強化已有的武器。獲得 1 點黑暗點數，接著獲得懲罰 +2，不受能力量表限制。"
""	""	""	""	""	""	""	""	"正義騎士"	"盟約的內容是什麼？"	""	""	""	""	""	""	""	"契約傀儡"	"黑暗牢獄"	"當你在舉起護符的同時呼喚監護者的名字時，創造一個可以與黑暗使徒對決的監獄。這個小型次元與召喚它的玩家角色所在的地點完全相同，並會拖入她所選擇的對象。在此空間中對地點造成的任何破壞對現實世界沒有影響。"
""	""	""	""	""	""	""	""	"正義騎士"	"為什麼戰士們是青少年女孩？"	""	""	""	""	""	""	""	"契約傀儡"	"契約形態"	"當你穿戴光之裝束時，可以選擇引導黑暗的能量來釋放腐化形態。這個新形態是玩家角色已有形態之外的額外形態。例如，如果她擁有允許使用超級形態的成長，則視為擁有：基礎形態、超級形態和腐化形態。啟動腐化形態產生 1 點黑暗點數，若使用其心之力或黑暗終曲則再額外產生 1 點。 光之裝束的外觀必須反映這個新形態，就像獲得超級形態或凱旋形態時一樣。"
""	""	""	""	""	""	""	""	"正義騎士"	"誰知道真相？"	""	""	""	""	""	""	""	"契約傀儡"	"黑暗傳送門"	"玩家角色擁有透過黑暗開啟傳送門的能力。當念出魔法咒語並做出正確的手勢時： 擲骰 + 奉獻 10+ 傳送門順利連結兩個地點。 7-9 傳送門出了點小問題。選擇一項： ✽ 傳送門出現在附近的位置，但不是預期的地點。 ✽ 黑暗使徒隨玩家角色一同穿過傳送門。 ✽ 獲得 1 點黑暗點數。"
""	""	""	""	""	""	""	""	"契約傀儡"	"深淵是什麼？"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"契約傀儡"	"逃脫者是什麼？"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"契約傀儡"	"誰能看到逃脫者？"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"契約傀儡"	"逃脫者在地球上做什麼？"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"契約傀儡"	"王國是什麼？"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"契約傀儡"	"為什麼深淵不直接介入搜捕逃脫者？"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"契約傀儡"	"為什麼王國不介入搜捕逃脫者？"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"契約傀儡"	"監護者是什麼？"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"契約傀儡"	"盟約的內容是什麼？"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"契約傀儡"	"為什麼戰士們是青少年女孩？"	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"契約傀儡"	"誰知道真相？"	""	""	""	""	""	""	""	""	""	""
